retailer,retailer_id,invoice_date,region,state,city,product,price_per_unit,units_sold,total_sales,operating_profit,sales_method
West Gear,1128299,1/5/21,West,California,San Francisco,Women's Apparel,58,225,13050,3001.5,Outlet
West Gear,1197831,1/5/21,South,Louisiana,New Orleans,Women's Apparel,23,147,3381,1690.5,Outlet
West Gear,1197831,1/5/21,South,Louisiana,New Orleans,Women's Apparel,34,143,4862,2917.2,Online
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Men's Street Footwear,20,675,135000,40500,Online
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Women's Street Footwear,30,475,142500,42750,Online
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Men's Athletic Footwear,30,675,202500,60750,Online
West Gear,1197831,1/5/21,South,Louisiana,New Orleans,Women's Apparel,35,475,166250,74812.5,Online
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Women's Athletic Footwear,35,475,166250,66500,Online
West Gear,1128299,1/5/21,West,California,San Francisco,Women's Apparel,80,725,580000,116000,Outlet
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Men's Apparel,40,325,130000,32500,Online
Sports Direct,1185732,1/6/21,Southeast,South Carolina,Charleston,Men's Athletic Footwear,34,181,6154,3077,Online
Sports Direct,1185732,1/6/21,Southeast,South Carolina,Charleston,Women's Street Footwear,24,189,4536,2449.44,Online
Sports Direct,1185732,1/6/21,Southeast,South Carolina,Charleston,Women's Apparel,34,196,6664,4264.96,Online
Kohl's,1189833,1/6/21,Midwest,Montana,Billings,Women's Athletic Footwear,44,81,3564,1960.2,Online
Sports Direct,1185732,1/6/21,Southeast,South Carolina,Charleston,Women's Athletic Footwear,29,173,5017,2759.35,Online
Kohl's,1189833,1/6/21,Midwest,Montana,Billings,Women's Athletic Footwear,45,300,135000,54000,Outlet
Foot Locker,1185732,1/6/21,Midwest,North Dakota,Fargo,Men's Street Footwear,30,450,135000,40500,In-store
Sports Direct,1185732,1/6/21,Southeast,South Carolina,Charleston,Men's Apparel,45,625,281250,98437.5,Online
Sports Direct,1185732,1/6/21,Southeast,South Carolina,Charleston,Women's Athletic Footwear,30,575,172500,69000,Online
Sports Direct,1185732,1/6/21,Southeast,South Carolina,Charleston,Women's Street Footwear,25,725,181250,72500,Online
Sports Direct,1185732,1/6/21,Southeast,South Carolina,Charleston,Men's Athletic Footwear,35,725,253750,88812.5,Online
West Gear,1128299,1/6/21,West,California,San Francisco,Men's Street Footwear,41,341,13981,6011.83,Outlet
Sports Direct,1185732,1/6/21,Southeast,South Carolina,Charleston,Men's Street Footwear,33,231,7623,3811.5,Online
Sports Direct,1185732,1/6/21,Southeast,South Carolina,Charleston,Men's Apparel,42,156,6552,3013.92,Online
Sports Direct,1185732,1/6/21,Southeast,South Carolina,Charleston,Men's Street Footwear,35,925,323750,129500,Online
Foot Locker,1185732,1/6/21,Midwest,North Dakota,Fargo,Women's Apparel,28,75,2100,1092,Online
Foot Locker,1185732,1/6/21,Midwest,North Dakota,Fargo,Men's Athletic Footwear,30,250,75000,26250,In-store
Foot Locker,1185732,1/6/21,Midwest,North Dakota,Fargo,Women's Street Footwear,20,250,50000,15000,In-store
Foot Locker,1185732,1/6/21,Midwest,North Dakota,Fargo,Women's Athletic Footwear,25,100,25000,7500,In-store
Foot Locker,1185732,1/6/21,Midwest,North Dakota,Fargo,Men's Apparel,40,150,60000,30000,In-store
Foot Locker,1185732,1/6/21,Midwest,North Dakota,Fargo,Women's Apparel,30,250,75000,30000,In-store
Foot Locker,1185732,1/6/21,Midwest,North Dakota,Fargo,Men's Athletic Footwear,29,70,2030,933.8,Online
West Gear,1128299,1/6/21,West,California,San Francisco,Men's Street Footwear,60,975,585000,234000,Outlet
Foot Locker,1185732,1/6/21,Midwest,North Dakota,Fargo,Men's Street Footwear,27,113,3051,1372.95,Online
West Gear,1128299,1/6/21,West,California,San Francisco,Men's Street Footwear,56,273,15288,7644,Online
Foot Locker,1185732,1/6/21,Midwest,North Dakota,Fargo,Women's Street Footwear,19,68,1292,581.4,Online
Foot Locker,1185732,1/6/21,Midwest,North Dakota,Fargo,Women's Athletic Footwear,24,26,624,280.8,Online
Foot Locker,1185732,1/6/21,Midwest,North Dakota,Fargo,Men's Apparel,38,42,1596,1005.48,Online
Sports Direct,1185732,1/6/21,Southeast,South Carolina,Charleston,Women's Apparel,35,725,253750,126875,Online
Sports Direct,1185732,1/7/21,Northeast,New Jersey,Newark,Women's Street Footwear,30,300,90000,27000,In-store
Sports Direct,1185732,1/7/21,Northeast,New Jersey,Newark,Men's Apparel,49,60,2940,1205.4,Online
Sports Direct,1185732,1/7/21,Northeast,New Jersey,Newark,Women's Athletic Footwear,33,42,1386,609.84,Online
Kohl's,1189833,1/7/21,Midwest,Montana,Billings,Men's Apparel,48,59,2832,2039.04,Online
Sports Direct,1185732,1/7/21,Northeast,New Jersey,Newark,Women's Apparel,37,81,2997,1498.5,Online
Sports Direct,1185732,1/7/21,Northeast,New Jersey,Newark,Men's Apparel,50,200,100000,30000,In-store
Sports Direct,1185732,1/7/21,Northeast,New Jersey,Newark,Women's Athletic Footwear,35,150,52500,15750,In-store
Sports Direct,1185732,1/7/21,Northeast,New Jersey,Newark,Women's Street Footwear,28,90,2520,1008,Online
Sports Direct,1185732,1/7/21,Northeast,New Jersey,Newark,Men's Street Footwear,38,125,4750,2422.5,Online
Sports Direct,1185732,1/7/21,Northeast,New Jersey,Newark,Men's Street Footwear,40,500,200000,80000,In-store
West Gear,1128299,1/7/21,West,California,San Francisco,Men's Athletic Footwear,50,256,12800,3840,Outlet
Sports Direct,1185732,1/7/21,Northeast,New Jersey,Newark,Women's Apparel,40,300,120000,42000,In-store
West Gear,1128299,1/7/21,West,California,San Francisco,Men's Athletic Footwear,65,825,536250,134062.5,Outlet
Sports Direct,1185732,1/7/21,Northeast,New Jersey,Newark,Men's Athletic Footwear,37,87,3219,1673.88,Online
West Gear,1128299,1/7/21,West,California,San Francisco,Men's Athletic Footwear,63,248,15624,5780.88,Online
Kohl's,1189833,1/7/21,Midwest,Montana,Billings,Men's Apparel,50,225,112500,67500,Outlet
Sports Direct,1185732,1/7/21,Northeast,New Jersey,Newark,Men's Athletic Footwear,40,300,120000,48000,In-store
West Gear,1128299,1/8/21,West,California,San Francisco,Women's Street Footwear,65,825,536250,214500,Outlet
West Gear,1128299,1/8/21,West,California,San Francisco,Women's Street Footwear,64,206,13184,7251.2,Online
West Gear,1128299,1/8/21,West,California,San Francisco,Women's Street Footwear,42,281,11802,5310.9,Outlet
Kohl's,1189833,1/8/21,Midwest,Montana,Billings,Women's Apparel,45,425,191250,47812.5,Outlet
Kohl's,1189833,1/8/21,Midwest,Montana,Billings,Women's Apparel,43,119,5117,1893.29,Online
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Women's Street Footwear,29,248,7192,2804.88,Online
Sports Direct,1185732,1/9/21,Midwest,South Dakota,Sioux Falls,Men's Apparel,45,175,78750,27562.5,Online
Sports Direct,1185732,1/9/21,Midwest,South Dakota,Sioux Falls,Women's Athletic Footwear,30,125,37500,11250,Online
Sports Direct,1185732,1/9/21,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,25,275,68750,20625,Online
Sports Direct,1185732,1/9/21,Midwest,South Dakota,Sioux Falls,Men's Athletic Footwear,35,275,96250,28875,Online
Sports Direct,1185732,1/9/21,Midwest,South Dakota,Sioux Falls,Men's Street Footwear,35,475,166250,58187.5,Online
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Women's Apparel,37,239,8843,5305.8,Online
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Men's Apparel,47,189,8883,4175.01,Online
Sports Direct,1185732,1/9/21,Midwest,South Dakota,Sioux Falls,Women's Apparel,33,72,2376,1211.76,Online
West Gear,1128299,1/9/21,West,California,San Francisco,Women's Athletic Footwear,41,224,9184,3765.44,Outlet
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Women's Athletic Footwear,34,203,6902,3036.88,Online
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Men's Street Footwear,26,349,9074,4264.78,Outlet
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Men's Athletic Footwear,30,256,7680,3072,Outlet
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Women's Street Footwear,24,264,6336,2027.52,Outlet
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Women's Athletic Footwear,25,209,5225,1828.75,Outlet
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Men's Apparel,35,247,8645,3371.55,Outlet
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Men's Street Footwear,39,256,9984,5790.72,Online
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Men's Athletic Footwear,37,206,7622,3429.9,Online
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Women's Apparel,30,281,8430,4467.9,Outlet
Sports Direct,1185732,1/9/21,Midwest,South Dakota,Sioux Falls,Men's Apparel,43,49,2107,1032.43,Online
Kohl's,1189833,1/9/21,Midwest,Montana,Billings,Men's Street Footwear,35,575,201250,90562.5,Outlet
Sports Direct,1185732,1/9/21,Midwest,South Dakota,Sioux Falls,Women's Apparel,35,275,96250,38500,Online
Sports Direct,1185732,1/9/21,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,25,74,1850,740,Online
Kohl's,1189833,1/9/21,Midwest,Montana,Billings,Men's Street Footwear,32,173,5536,3044.8,Online
Sports Direct,1185732,1/9/21,Midwest,South Dakota,Sioux Falls,Men's Athletic Footwear,32,74,2368,1041.92,Online
West Gear,1128299,1/9/21,West,California,San Francisco,Women's Athletic Footwear,60,700,420000,147000,Outlet
Sports Direct,1185732,1/9/21,Midwest,South Dakota,Sioux Falls,Men's Street Footwear,33,128,4224,1900.8,Online
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Women's Apparel,40,825,330000,165000,Online
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Men's Apparel,50,725,362500,126875,Online
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Women's Athletic Footwear,35,675,236250,70875,Online
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Women's Street Footwear,30,825,247500,61875,Online
Sports Direct,1185732,1/9/21,Midwest,South Dakota,Sioux Falls,Women's Athletic Footwear,28,33,924,415.8,Online
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Men's Street Footwear,40,1025,410000,184500,Online
West Gear,1128299,1/9/21,West,California,San Francisco,Women's Athletic Footwear,59,210,12390,6071.1,Online
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Men's Athletic Footwear,40,825,330000,115500,Online
Kohl's,1185732,1/10/21,Northeast,Delaware,Wilmington,Men's Street Footwear,35,475,166250,58187.5,In-store
West Gear,1185732,1/10/21,Midwest,Wisconsin,Milwaukee,Women's Apparel,35,300,105000,42000,In-store
West Gear,1128299,1/10/21,Northeast,Maine,Portland,Women's Street Footwear,45,375,168750,42187.5,Outlet
West Gear,1128299,1/10/21,Northeast,Maine,Portland,Men's Street Footwear,33,98,3234,1131.9,Online
West Gear,1185732,1/10/21,Midwest,Wisconsin,Milwaukee,Men's Apparel,45,200,90000,27000,In-store
West Gear,1128299,1/10/21,Northeast,Maine,Portland,Men's Athletic Footwear,41,109,4469,1474.77,Online
West Gear,1128299,1/10/21,Northeast,Maine,Portland,Women's Street Footwear,43,101,4343,1737.2,Online
West Gear,1128299,1/10/21,West,California,San Francisco,Men's Apparel,65,575,373750,205562.5,Outlet
West Gear,1185732,1/10/21,Midwest,Wisconsin,Milwaukee,Women's Athletic Footwear,30,150,45000,15750,In-store
Foot Locker,1128299,1/10/21,West,Alaska,Anchorage,Women's Athletic Footwear,43,56,2408,842.8,Online
West Gear,1185732,1/10/21,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,25,300,75000,26250,In-store
West Gear,1185732,1/10/21,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,35,300,105000,42000,In-store
West Gear,1185732,1/10/21,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,35,500,175000,70000,In-store
Foot Locker,1128299,1/10/21,West,Alaska,Anchorage,Men's Athletic Footwear,43,109,4687,1546.71,Online
West Gear,1128299,1/10/21,Northeast,Maine,Portland,Women's Athletic Footwear,43,59,2537,989.43,Online
West Gear,1128299,1/10/21,Northeast,Maine,Portland,Men's Athletic Footwear,45,375,168750,33750,Outlet
Foot Locker,1128299,1/10/21,West,Alaska,Anchorage,Women's Apparel,45,425,191250,76500,Outlet
Foot Locker,1128299,1/10/21,West,Alaska,Anchorage,Men's Apparel,50,175,87500,13125,Outlet
Foot Locker,1128299,1/10/21,West,Alaska,Anchorage,Men's Street Footwear,33,109,3597,1366.86,Online
Foot Locker,1128299,1/10/21,West,Alaska,Anchorage,Men's Street Footwear,35,375,131250,32812.5,Outlet
Foot Locker,1128299,1/10/21,West,Alaska,Anchorage,Women's Athletic Footwear,45,225,101250,25312.5,Outlet
Foot Locker,1128299,1/10/21,West,Alaska,Anchorage,Women's Street Footwear,45,375,168750,42187.5,Outlet
Foot Locker,1128299,1/10/21,West,Alaska,Anchorage,Men's Athletic Footwear,45,375,168750,33750,Outlet
Foot Locker,1128299,1/10/21,West,Alaska,Anchorage,Women's Street Footwear,41,113,4633,1667.88,Online
West Gear,1128299,1/10/21,Northeast,Maine,Portland,Women's Athletic Footwear,45,225,101250,25312.5,Outlet
Foot Locker,1128299,1/10/21,West,Alaska,Anchorage,Women's Apparel,42,123,5166,2789.64,Online
West Gear,1185732,1/10/21,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,32,78,2496,1272.96,Online
Foot Locker,1128299,1/10/21,West,Alaska,Anchorage,Men's Apparel,46,46,2116,634.8,Online
Foot Locker,1185732,1/10/21,Northeast,Connecticut,Hartford,Men's Athletic Footwear,34,63,2142,963.9,Online
Foot Locker,1185732,1/10/21,Northeast,Connecticut,Hartford,Men's Street Footwear,34,115,3910,1798.6,Online
Foot Locker,1185732,1/10/21,Northeast,Connecticut,Hartford,Women's Street Footwear,24,63,1512,831.6,Online
Foot Locker,1185732,1/10/21,Northeast,Connecticut,Hartford,Women's Athletic Footwear,29,20,580,307.4,Online
Foot Locker,1185732,1/10/21,Northeast,Connecticut,Hartford,Men's Apparel,44,33,1452,580.8,Online
Foot Locker,1185732,1/10/21,Northeast,Connecticut,Hartford,Women's Apparel,33,63,2079,1122.66,Online
Foot Locker,1185732,1/10/21,Northeast,Connecticut,Hartford,Women's Apparel,35,225,78750,31500,In-store
Foot Locker,1185732,1/10/21,Northeast,Connecticut,Hartford,Men's Apparel,45,125,56250,16875,In-store
Foot Locker,1185732,1/10/21,Northeast,Connecticut,Hartford,Women's Athletic Footwear,30,75,22500,9000,In-store
Foot Locker,1185732,1/10/21,Northeast,Connecticut,Hartford,Women's Street Footwear,25,225,56250,22500,In-store
Foot Locker,1185732,1/10/21,Northeast,Connecticut,Hartford,Men's Athletic Footwear,35,225,78750,27562.5,In-store
Foot Locker,1185732,1/10/21,Northeast,Connecticut,Hartford,Men's Street Footwear,35,425,148750,52062.5,In-store
West Gear,1128299,1/10/21,West,California,San Francisco,Men's Apparel,62,155,9610,6342.6,Online
Kohl's,1185732,1/10/21,Northeast,Delaware,Wilmington,Women's Apparel,33,69,2277,1252.35,Online
Kohl's,1185732,1/10/21,Northeast,Delaware,Wilmington,Men's Apparel,41,47,1927,770.8,Online
Kohl's,1185732,1/10/21,Northeast,Delaware,Wilmington,Women's Athletic Footwear,27,38,1026,513,Online
Kohl's,1189833,1/10/21,Midwest,Montana,Billings,Men's Athletic Footwear,45,425,191250,57375,Outlet
West Gear,1185732,1/10/21,Midwest,Wisconsin,Milwaukee,Women's Athletic Footwear,28,44,1232,591.36,Online
Kohl's,1185732,1/10/21,Northeast,Delaware,Wilmington,Men's Athletic Footwear,35,275,96250,33687.5,In-store
Kohl's,1185732,1/10/21,Northeast,Delaware,Wilmington,Women's Street Footwear,25,275,68750,27500,In-store
Kohl's,1185732,1/10/21,Northeast,Delaware,Wilmington,Women's Athletic Footwear,30,125,37500,15000,In-store
Kohl's,1185732,1/10/21,Northeast,Delaware,Wilmington,Men's Apparel,45,175,78750,23625,In-store
West Gear,1185732,1/10/21,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,32,140,4480,2329.6,Online
Kohl's,1185732,1/10/21,Northeast,Delaware,Wilmington,Women's Apparel,35,275,96250,38500,In-store
West Gear,1185732,1/10/21,Midwest,Wisconsin,Milwaukee,Women's Apparel,32,84,2688,1344,Online
Kohl's,1189833,1/10/21,Midwest,Montana,Billings,Men's Athletic Footwear,41,115,4715,1933.15,Online
West Gear,1128299,1/10/21,Northeast,Maine,Portland,Men's Street Footwear,35,375,131250,32812.5,Outlet
Kohl's,1185732,1/10/21,Northeast,Delaware,Wilmington,Men's Street Footwear,32,138,4416,2208,Online
Kohl's,1185732,1/10/21,Northeast,Delaware,Wilmington,Men's Athletic Footwear,33,77,2541,1194.27,Online
Kohl's,1185732,1/10/21,Northeast,Delaware,Wilmington,Women's Street Footwear,24,72,1728,881.28,Online
West Gear,1185732,1/10/21,Midwest,Wisconsin,Milwaukee,Men's Apparel,41,58,2378,1046.32,Online
West Gear,1185732,1/10/21,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,24,87,2088,939.6,Online
West Gear,1128299,1/10/21,West,California,San Francisco,Men's Apparel,44,196,8624,5260.64,Outlet
Foot Locker,1185732,1/10/21,Northeast,Connecticut,Hartford,Women's Apparel,26,72,1872,879.84,Outlet
Foot Locker,1185732,1/10/21,Northeast,Connecticut,Hartford,Women's Street Footwear,19,72,1368,574.56,Outlet
Foot Locker,1185732,1/10/21,Northeast,Connecticut,Hartford,Men's Street Footwear,23,149,3427,1439.34,Outlet
Foot Locker,1185732,1/10/21,Northeast,Connecticut,Hartford,Men's Athletic Footwear,28,79,2212,884.8,Outlet
Foot Locker,1185732,1/10/21,Northeast,Connecticut,Hartford,Women's Athletic Footwear,24,24,576,264.96,Outlet
Foot Locker,1185732,1/10/21,Northeast,Connecticut,Hartford,Men's Apparel,34,44,1496,538.56,Outlet
West Gear,1185732,1/11/21,Midwest,Missouri,St. Louis,Men's Street Footwear,23,196,4508,2479.4,Online
West Gear,1185732,1/11/21,Midwest,Missouri,St. Louis,Men's Apparel,35,375,131250,45937.5,In-store
West Gear,1128299,1/11/21,West,California,San Francisco,Women's Apparel,80,875,700000,140000,Outlet
Kohl's,1189833,1/11/21,Midwest,Montana,Billings,Women's Street Footwear,45,425,191250,86062.5,Outlet
West Gear,1185732,1/11/21,Midwest,Missouri,St. Louis,Women's Apparel,24,138,3312,2119.68,Online
Kohl's,1189833,1/11/21,Midwest,Montana,Billings,Women's Street Footwear,42,128,5376,3064.32,Online
West Gear,1185732,1/11/21,Midwest,Missouri,St. Louis,Men's Athletic Footwear,23,133,3059,1437.73,Online
West Gear,1185732,1/11/21,Midwest,Missouri,St. Louis,Women's Street Footwear,14,143,2002,940.94,Online
West Gear,1185732,1/11/21,Midwest,Missouri,St. Louis,Women's Athletic Footwear,18,88,1584,823.68,Online
West Gear,1185732,1/11/21,Midwest,Missouri,St. Louis,Men's Apparel,33,98,3234,1519.98,Online
West Gear,1185732,1/11/21,Midwest,Missouri,St. Louis,Women's Apparel,25,475,118750,59375,In-store
West Gear,1185732,1/11/21,Midwest,Missouri,St. Louis,Women's Street Footwear,15,475,71250,24937.5,In-store
West Gear,1185732,1/11/21,Midwest,Missouri,St. Louis,Men's Street Footwear,25,675,168750,67500,In-store
West Gear,1185732,1/11/21,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25,475,118750,41562.5,In-store
West Gear,1185732,1/11/21,Midwest,Missouri,St. Louis,Women's Athletic Footwear,20,325,65000,26000,In-store
West Gear,1128299,1/11/21,West,California,San Francisco,Women's Apparel,72,219,15768,5518.8,Online
West Gear,1128299,1/11/21,West,California,San Francisco,Women's Apparel,60,306,18360,4773.6,Outlet
Foot Locker,1185732,1/12/21,Midwest,Kansas,Wichita,Women's Athletic Footwear,35,125,43750,13125,Online
West Gear,1185732,1/12/21,Southeast,Florida,Orlando,Women's Athletic Footwear,40,500,200000,60000,In-store
West Gear,1185732,1/12/21,Southeast,Florida,Orlando,Men's Apparel,51,165,8415,3786.75,Online
Foot Locker,1185732,1/12/21,Midwest,Kansas,Wichita,Women's Apparel,40,275,110000,44000,Online
West Gear,1185732,1/12/21,Southeast,Florida,Orlando,Women's Street Footwear,32,169,5408,2055.04,Online
West Gear,1185732,1/12/21,Southeast,Florida,Orlando,Women's Athletic Footwear,37,145,5365,2199.65,Online
West Gear,1185732,1/12/21,Southeast,Florida,Orlando,Men's Apparel,55,550,302500,105875,In-store
West Gear,1185732,1/12/21,Southeast,Florida,Orlando,Women's Apparel,45,650,292500,146250,In-store
Foot Locker,1185732,1/12/21,Midwest,Kansas,Wichita,Women's Athletic Footwear,34,36,1224,489.6,Online
Foot Locker,1185732,1/12/21,Midwest,Kansas,Wichita,Women's Street Footwear,27,83,2241,986.04,Online
Foot Locker,1185732,1/12/21,Midwest,Kansas,Wichita,Men's Athletic Footwear,37,80,2960,1184,Online
Foot Locker,1185732,1/12/21,Midwest,Kansas,Wichita,Men's Street Footwear,38,138,5244,2569.56,Online
West Gear,1185732,1/12/21,Southeast,Florida,Orlando,Men's Athletic Footwear,44,189,8316,3908.52,Online
West Gear,1185732,1/12/21,Southeast,Florida,Orlando,Women's Apparel,44,176,7744,5033.6,Online
West Gear,1185732,1/12/21,Southeast,Florida,Orlando,Men's Street Footwear,41,255,10455,5750.25,Online
Kohl's,1189833,1/12/21,Midwest,Montana,Billings,Women's Athletic Footwear,45,325,146250,58500,Outlet
Foot Locker,1185732,1/12/21,Midwest,Kansas,Wichita,Men's Apparel,50,175,87500,30625,Online
West Gear,1185732,1/12/21,Southeast,Florida,Orlando,Women's Street Footwear,35,650,227500,56875,In-store
West Gear,1185732,1/12/21,Southeast,Florida,Orlando,Men's Athletic Footwear,45,650,292500,102375,In-store
Kohl's,1189833,1/12/21,Midwest,Montana,Billings,Women's Athletic Footwear,44,91,4004,2122.12,Online
West Gear,1185732,1/12/21,Southeast,Florida,Orlando,Women's Apparel,35,221,7735,4254.25,Outlet
West Gear,1185732,1/12/21,Southeast,Florida,Orlando,Men's Apparel,36,193,6948,2848.68,Outlet
West Gear,1185732,1/12/21,Southeast,Florida,Orlando,Women's Athletic Footwear,30,170,5100,1887,Outlet
West Gear,1185732,1/12/21,Southeast,Florida,Orlando,Women's Street Footwear,26,202,5252,1523.08,Outlet
West Gear,1185732,1/12/21,Southeast,Florida,Orlando,Men's Athletic Footwear,36,221,7956,3182.4,Outlet
